director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
James Cameron,Joel David Moore,Action Adventure Fantasy Sci-Fi,CCH Pounder,Avatar,Wes Studi,James Cameron Joel David Moore Action Adventure Fantasy Sci-Fi CCH Pounder Wes Studi
Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End,Jack Davenport,Gore Verbinski Orlando Bloom Action Adventure Fantasy Johnny Depp Jack Davenport
Sam Mendes,Rory Kinnear,Action Adventure Thriller,Christoph Waltz,Spectre,Stephanie Sigman,Sam Mendes Rory Kinnear Action Adventure Thriller Christoph Waltz Stephanie Sigman
Christopher Nolan,Christian Bale,Action Thriller,Tom Hardy,The Dark Knight Rises,Joseph Gordon-Levitt,Christopher Nolan Christian Bale Action Thriller Tom Hardy Joseph Gordon-Levitt
Andrew Stanton,Samantha Morton,Action Adventure Sci-Fi,Daryl Sabara,John Carter,Polly Walker,Andrew Stanton Samantha Morton Action Adventure Sci-Fi Daryl Sabara Polly Walker
Sam Raimi,James Franco,Action Adventure Romance,J.K. Simmons,Spider-Man 3,Kirsten Dunst,Sam Raimi James Franco Action Adventure Romance J.K. Simmons Kirsten Dunst
Nathan Greno,Donna Murphy,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Tangled,M.C. Gainey,Nathan Greno Donna Murphy Adventure Animation Comedy Family Fantasy Musical Romance Brad Garrett M.C. Gainey
Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron,Scarlett Johansson,Joss Whedon Robert Downey Jr. Action Adventure Sci-Fi Chris Hemsworth Scarlett Johansson
David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince,Rupert Grint,David Yates Daniel Radcliffe Adventure Family Fantasy Mystery Alan Rickman Rupert Grint
Zack Snyder,Lauren Cohan,Action Adventure Sci-Fi,Henry Cavill,Batman v Superman: Dawn of Justice,Alan D. Purwin,Zack Snyder Lauren Cohan Action Adventure Sci-Fi Henry Cavill Alan D. Purwin
Bryan Singer,Marlon Brando,Action Adventure Sci-Fi,Kevin Spacey,Superman Returns,Frank Langella,Bryan Singer Marlon Brando Action Adventure Sci-Fi Kevin Spacey Frank Langella
Marc Forster,Mathieu Amalric,Action Adventure,Giancarlo Giannini,Quantum of Solace,Rory Kinnear,Marc Forster Mathieu Amalric Action Adventure Giancarlo Giannini Rory Kinnear
Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,Jack Davenport,Gore Verbinski Orlando Bloom Action Adventure Fantasy Johnny Depp Jack Davenport
Gore Verbinski,Ruth Wilson,Action Adventure Western,Johnny Depp,The Lone Ranger,Tom Wilkinson,Gore Verbinski Ruth Wilson Action Adventure Western Johnny Depp Tom Wilkinson
Zack Snyder,Christopher Meloni,Action Adventure Fantasy Sci-Fi,Henry Cavill,Man of Steel,Harry Lennix,Zack Snyder Christopher Meloni Action Adventure Fantasy Sci-Fi Henry Cavill Harry Lennix
Andrew Adamson,Pierfrancesco Favino,Action Adventure Family Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian,Damián Alcázar,Andrew Adamson Pierfrancesco Favino Action Adventure Family Fantasy Peter Dinklage Damián Alcázar
Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,The Avengers,Scarlett Johansson,Joss Whedon Robert Downey Jr. Action Adventure Sci-Fi Chris Hemsworth Scarlett Johansson
Rob Marshall,Sam Claflin,Action Adventure Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides,Stephen Graham,Rob Marshall Sam Claflin Action Adventure Fantasy Johnny Depp Stephen Graham
Barry Sonnenfeld,Michael Stuhlbarg,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Men in Black 3,Nicole Scherzinger,Barry Sonnenfeld Michael Stuhlbarg Action Adventure Comedy Family Fantasy Sci-Fi Will Smith Nicole Scherzinger
Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies,James Nesbitt,Peter Jackson Adam Brown Adventure Fantasy Aidan Turner James Nesbitt
Marc Webb,Andrew Garfield,Action Adventure Fantasy,Emma Stone,The Amazing Spider-Man,Chris Zylka,Marc Webb Andrew Garfield Action Adventure Fantasy Emma Stone Chris Zylka
Ridley Scott,William Hurt,Action Adventure Drama History,Mark Addy,Robin Hood,Scott Grimes,Ridley Scott William Hurt Action Adventure Drama History Mark Addy Scott Grimes
Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,The Hobbit: The Desolation of Smaug,James Nesbitt,Peter Jackson Adam Brown Adventure Fantasy Aidan Turner James Nesbitt
Chris Weitz,Eva Green,Adventure Family Fantasy,Christopher Lee,The Golden Compass,Kristin Scott Thomas,Chris Weitz Eva Green Adventure Family Fantasy Christopher Lee Kristin Scott Thomas
Peter Jackson,Thomas Kretschmann,Action Adventure Drama Romance,Naomi Watts,King Kong,Evan Parke,Peter Jackson Thomas Kretschmann Action Adventure Drama Romance Naomi Watts Evan Parke
James Cameron,Kate Winslet,Drama Romance,Leonardo DiCaprio,Titanic,Gloria Stuart,James Cameron Kate Winslet Drama Romance Leonardo DiCaprio Gloria Stuart
Anthony Russo,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,Captain America: Civil War,Chris Evans,Anthony Russo Scarlett Johansson Action Adventure Sci-Fi Robert Downey Jr. Chris Evans
Peter Berg,Alexander Skarsgård,Action Adventure Sci-Fi Thriller,Liam Neeson,Battleship,Tadanobu Asano,Peter Berg Alexander Skarsgård Action Adventure Sci-Fi Thriller Liam Neeson Tadanobu Asano
Colin Trevorrow,Judy Greer,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Jurassic World,Omar Sy,Colin Trevorrow Judy Greer Action Adventure Sci-Fi Thriller Bryce Dallas Howard Omar Sy
Sam Mendes,Helen McCrory,Action Adventure Thriller,Albert Finney,Skyfall,Rory Kinnear,Sam Mendes Helen McCrory Action Adventure Thriller Albert Finney Rory Kinnear
